,ALLGRADEX,SEGRADES,CENREG,EDCPUB,EDCCAT,EDCREL,EDCPRI,EDCINTK12,EDCHSFL,DISTASSI,SCHRTSCHL,SCHLMAGNET,SEENJOY,SEABSNT,FCSCHOOL,FCTEACHR,FCSTDS,FHHOME,FHWKHRS,FOSTORY2X,FOCRAFTS,FOGAMES,FOBUILDX,FOSPORT,FORESPON,FOHISTX,FODINNERX,FOLIBRAYX,FOBOOKSTX,FOCONCRTX,FOMUSEUMX,FOZOOX,FOGROUPX,HHENGLISH,CSPEAKX,HHTOTALXX,HHPRTNRSX,P1REL,P1SEX,P1AGE,P2AGE,P2REL,P2SEX,P2MRSTA,PAR1EMPL,PAR1FTFY,PAR2FTFY,NUMSIBSX,TTLHHINC,OWNRNTHB,HVINTSPHO,HVINTCOM,INTACC,CHLDNT,LRNCOMP,LRNTAB,LRNCELL
4303,12,1,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,1,1,4,12,1,1,1,1,1,2,1,6,1,1,2,1,2,1,1,2,5.0,0.0,1,1,47,47,1,2,1,1,1,3,2,12,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0
4304,4,2,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,1,1,3,2,1,1,1,1,2,2,1,3,1,1,2,2,2,1,1,2,3.0,0.0,1,2,33,58,5,2,3,1,1,1,0,8,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4305,15,1,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,2,1,1,1,3,10,1,2,2,1,1,1,2,5,2,2,2,2,2,2,1,2,4.0,0.0,1,1,56,57,1,2,1,4,3,2,1,10,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0
4306,2,2,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,1,1,2,4,1,1,1,2,1,2,2,3,1,2,2,2,1,2,1,2,5.0,0.0,1,2,49,52,1,1,1,2,2,2,2,8,1,1.0,1.0,1.0,2.0,1.0,1.0,2.0
4307,6,1,2,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2,2.0,1,1,3,3,1,3,3,1,1,1,1,1,1,1,6,1,1,1,1,2,1,1,2,4.0,0.0,1,2,31,36,3,1,5,1,1,2,1,6,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4308,8,1,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,1,1,1,1,1,3,5,2,1,1,1,1,2,1,7,2,2,1,1,2,2,1,2,3.0,0.0,1,1,49,43,1,2,1,1,1,3,0,8,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4309,14,2,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,3,2,2,2,2,3,5,1,2,2,1,1,1,2,3,1,1,1,2,2,1,1,2,3.0,0.0,1,2,48,48,1,1,1,4,3,1,0,8,1,1.0,1.0,1.0,2.0,1.0,1.0,1.0
4310,8,1,1,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,1,1,3,3,1,2,1,1,1,1,1,7,1,2,1,1,2,1,1,2,6.0,0.0,1,1,42,42,1,2,1,1,2,3,3,8,1,2.0,1.0,2.0,2.0,1.0,2.0,2.0
4311,13,1,2,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2,2.0,2,1,1,1,1,4,6,2,2,2,2,1,1,1,4,2,2,2,1,2,2,1,2,4.0,0.0,1,2,52,56,1,1,1,1,2,1,1,11,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0
4312,14,1,2,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,1.0,2,1,2,2,2,4,25,2,2,2,2,2,2,2,5,1,2,2,1,2,2,1,2,4.0,0.0,1,2,64,60,1,1,1,1,1,1,1,12,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0
